,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
waittch01,113,407,11,0,0,0,0,15,67,3,14,0,14,0,0
wakefdi01,638,2132,270,0,3,0,10,360,625,10,315,56,102,29,2
walbema01,682,2109,343,14,10,4,14,133,492,13,208,28,79,5,1
walberu01,547,905,179,0,0,0,52,48,162,2,84,4,26,5,0
waldrir01,141,598,0,0,4,0,11,38,186,20,52,0,22,9,1
walkbo01,352,510,167,1,6,0,50,16,74,0,48,1,11,2,0
walkebi01,275,489,162,0,1,0,33,13,62,1,26,4,3,3,0
walkech01,526,1217,212,15,1,7,6,109,299,67,116,17,37,7,1
walkecu01,1359,4858,254,0,9,0,170,535,1475,96,688,64,235,117,4
walkedi02,1905,6740,325,0,16,0,93,817,2064,59,1023,105,376,96,4
walkedu01,392,861,190,8,3,7,4,103,197,25,99,24,37,5,0
walkefr01,139,407,66,0,4,0,10,29,87,5,41,3,16,5,0
walkege02,1784,6771,600,0,44,0,66,330,1991,223,997,124,399,76,4
walkegr01,855,2864,520,22,20,28,3,268,746,19,444,113,164,19,2
walkeha01,807,2651,175,0,7,0,78,245,786,42,214,10,126,37,2
walkehu01,297,779,89,0,6,0,9,104,205,26,60,5,43,6,1
walkejo01,125,454,32,0,3,0,10,9,114,5,51,2,15,5,0
walkela01,1988,6907,1231,65,138,117,7,913,2160,230,1311,383,471,62,4
walkene01,836,3063,593,33,43,18,9,278,833,26,418,93,174,17,2
walkeos01,282,1128,56,0,3,0,0,34,287,0,51,11,46,23,1
walkeru01,608,1585,213,11,5,12,7,150,360,3,192,35,69,3,1
walketi01,1421,5067,504,0,31,0,154,416,1423,129,679,118,244,71,3
walketo04,1288,4554,571,46,16,34,18,421,1316,66,545,107,284,30,3
wallabo01,2383,8618,79,0,47,0,173,774,2309,201,1121,34,391,143,4
wallabr01,375,1067,349,3,22,9,1,90,264,2,118,34,58,3,1
wallaja02,219,584,138,0,3,0,2,46,120,3,61,15,17,4,0
wallati01,2212,8099,1307,77,77,89,6,649,2085,51,1125,260,432,36,4
wallide01,1271,2945,316,24,4,29,6,308,799,44,380,49,142,30,2
wallijo01,329,886,174,3,2,7,10,95,216,7,68,16,36,9,1
wallsle01,902,2558,470,15,16,6,34,245,670,21,284,66,88,31,2
walshed01,459,1088,14,0,7,0,30,46,210,14,68,3,38,10,0
walshji01,502,1571,197,0,10,0,54,101,447,45,212,25,84,14,1
walshji02,541,1771,204,0,11,0,69,249,410,92,150,6,71,31,1
waltebu01,715,1966,303,0,5,0,64,114,477,12,234,23,99,16,1
walteke01,259,681,89,5,3,4,7,25,157,6,58,11,20,2,0
waltero01,498,1426,151,0,20,0,58,97,317,13,116,0,41,6,1
waltoda01,297,779,240,4,10,6,0,88,174,4,107,28,27,4,0
waltoje01,598,1573,280,14,19,2,16,138,423,58,132,25,77,8,1
wambsbi01,1491,5237,357,0,47,0,323,490,1359,140,520,7,215,59,4
wanerll01,1993,7772,173,0,26,0,108,420,2459,67,598,27,281,118,4
wanerpa01,2549,9459,376,0,38,0,174,1091,3152,104,1309,113,605,191,4
wannipe01,163,556,43,0,1,0,18,23,130,5,31,1,15,8,0
wardaa01,1059,3611,457,0,25,0,152,339,966,36,447,50,158,54,2
wardch01,236,769,67,0,12,0,42,51,175,7,72,0,20,6,0
wardda01,948,2234,422,27,9,36,0,192,588,1,379,90,131,5,1
wardga01,1287,4479,775,35,13,28,14,351,1236,83,597,130,196,41,3
wardjo01,1825,7647,326,0,17,0,0,420,2104,540,867,26,231,96,4
wardjo04,166,465,11,0,4,0,21,18,110,12,47,0,18,9,0
wardpe01,973,3060,539,28,40,41,12,371,776,20,427,98,136,17,2
wardpi01,221,780,73,0,23,0,0,156,223,86,90,1,23,16,1
wardpr01,744,2067,315,15,2,8,31,231,522,7,262,50,83,15,1
wardtu01,626,1548,247,22,13,11,20,186,389,33,219,39,73,11,1
warhoja01,228,495,33,0,4,0,12,22,77,8,24,0,12,3,0
warnefr01,257,1034,58,0,1,0,0,27,242,0,47,1,29,5,1
warneja01,478,1546,137,0,13,0,54,142,387,31,120,1,52,20,1
warnejo01,1073,3494,33,0,91,0,58,181,870,83,303,6,81,35,2
warnelo01,459,962,148,0,4,0,62,52,215,1,97,4,26,2,0
warrebe01,377,989,177,0,5,0,6,129,217,1,104,33,26,7,0
warstra01,1205,4088,414,0,11,0,107,405,935,42,332,11,133,36,2
warwica01,530,1462,241,11,2,6,14,127,363,13,149,31,51,10,1
wasdeji01,888,2866,165,0,13,0,39,243,782,29,341,29,109,34,2
washicl01,1912,6787,1266,51,36,77,25,468,1884,312,824,164,334,69,4
washiro01,564,1586,266,13,9,1,16,65,414,28,146,20,65,22,1
washiul01,907,2797,409,21,1,6,44,261,703,132,255,27,103,36,2
wathajo01,860,2505,265,18,14,10,28,199,656,105,261,21,90,25,2
watkige01,894,3207,382,0,44,0,29,246,925,61,420,73,192,42,2
watsobo01,1832,6185,796,65,48,98,11,653,1826,27,989,184,307,41,4
watwojo01,469,1423,103,0,6,0,38,154,403,27,158,5,66,16,1
weathro01,811,2781,170,0,7,0,40,180,794,42,290,43,152,44,2
weavebu01,1254,4809,303,0,58,0,242,183,1308,172,421,21,198,69,3
weavefa01,753,3082,86,0,54,0,0,185,856,162,344,9,114,38,2
weavesa01,167,613,14,0,0,0,0,37,127,0,12,0,16,2,0
webbea01,650,2161,202,0,2,0,37,260,661,8,333,56,155,25,2
webbsk01,699,2274,215,0,3,0,44,132,498,33,166,3,73,15,1
webstle01,587,1450,209,4,12,5,11,140,368,1,176,33,73,2,1
webstmi01,1265,3419,578,30,28,28,47,325,900,160,342,70,150,55,3
webstra02,380,778,94,3,3,12,3,70,190,9,98,17,31,6,0
weeksje01,243,905,141,8,10,1,13,75,236,40,60,4,44,17,1
weeksri01,1179,4140,1127,18,127,13,9,501,1023,126,439,150,204,32,3
wehmehe01,413,633,166,3,2,0,23,16,124,0,40,3,13,3,0
wehnejo01,461,804,136,3,1,5,16,73,200,15,54,4,33,4,0
weilabo01,277,443,167,0,1,0,32,26,57,1,19,3,6,3,0
weilmca01,240,505,118,0,1,0,20,33,86,2,25,0,5,1,0
weimeja01,192,540,0,0,3,0,12,29,115,4,36,1,11,1,0
weintph01,444,1382,182,0,5,0,11,232,407,4,207,32,67,19,1
weisal01,800,1578,299,9,14,11,45,117,346,55,115,7,45,11,1
weisswa01,1495,4686,658,42,40,38,89,658,1207,96,386,25,182,31,3
welajjo01,293,793,73,0,2,0,11,53,198,36,74,4,40,3,1
welchbo01,520,582,171,2,3,0,59,22,88,0,30,2,7,1,0
welchcu01,1107,4385,93,0,173,0,0,381,1152,453,503,16,215,66,4
welchfr01,738,2310,225,0,20,0,98,250,634,18,295,41,100,31,2
welchmi01,606,2201,329,0,3,0,0,82,492,10,202,12,93,16,1
wellmbr01,441,927,176,7,7,2,13,59,214,26,77,6,30,2,0
wellsca01,277,688,201,0,11,2,2,57,158,6,81,25,31,4,0
wellsed01,298,433,74,0,1,0,16,17,93,1,38,0,11,4,0
wellsve01,1731,6642,956,65,31,24,2,472,1794,109,958,270,379,34,4
welshji01,715,2684,144,0,47,0,106,156,778,37,288,35,127,47,2
werbebi01,1295,5024,363,0,32,0,88,701,1363,215,539,78,271,50,4
werdepe01,693,2740,140,0,46,0,5,281,773,150,439,26,109,87,2
werrijo01,392,1534,0,0,8,0,0,102,383,83,212,10,53,34,1
wertdo01,1110,3840,529,30,31,37,56,389,929,22,366,77,129,15,2
werthja01,1370,4707,1242,43,59,31,4,658,1280,123,701,198,262,21,4
wertzvi01,1862,6099,842,43,27,33,24,828,1692,9,1178,266,289,42,4
westlwa01,958,3117,453,2,33,1,26,317,848,19,539,127,107,33,2
westma02,824,2676,340,0,13,0,15,353,681,19,380,77,136,20,2
westrwe01,919,2322,514,8,19,9,11,489,503,10,315,96,59,8,2
westsa01,1753,6148,540,0,5,0,123,696,1838,53,838,75,347,101,4
weyhigu01,552,1849,324,0,2,0,13,101,307,32,133,3,40,15,1
whalibe01,211,573,98,0,7,0,18,39,129,5,50,0,21,4,0
wheatma01,225,602,102,0,10,0,11,19,123,7,35,4,23,5,0
wheatza01,2410,9106,559,0,77,0,163,650,2884,205,1248,132,476,172,4
wheelbo01,236,854,70,0,2,0,0,118,201,106,70,3,25,4,1
wheelha01,257,1122,32,0,0,0,0,23,256,0,32,2,29,21,1
whisepe01,475,988,196,10,1,1,11,86,221,17,134,37,46,8,1
whistle01,272,1014,156,0,10,0,0,100,247,39,133,12,29,28,1
whitalo01,2390,8570,1099,91,20,79,89,1197,2369,143,1084,244,420,65,4
whitast01,266,758,174,5,5,3,2,54,174,4,85,24,20,6,0
whitebi02,467,1834,0,0,7,0,0,125,441,76,205,6,39,37,1
whitebi03,1673,5972,927,45,28,70,39,596,1706,103,870,202,278,65,4
whitebu01,924,3316,138,0,29,0,67,150,883,51,245,17,100,31,2
whitede01,1560,6624,221,0,41,0,0,307,2066,57,977,23,268,96,4
