playerID,Sum - W,Sum - L,Sum - GS,Sum - SHO,Sum - SV,Sum - IPouts,Sum - H,Sum - HR,Sum - BB,Sum - R,Sum - ER,ERA<3.5
hallbo02,9,18,27,1,1,830,307,32,146,182,166,0
hallch02,54,47,80,3,12,2729,821,16,391,437,312,1
halldi01,93,75,74,3,68,3779,1152,130,236,512,464,1
halldr01,9,12,4,0,5,586,184,20,95,122,113,0
halleja01,12,16,24,2,0,833,280,8,106,141,125,0
hallma01,15,25,36,1,0,905,292,2,137,150,109,1
hallto01,52,33,63,3,32,2558,656,88,382,360,310,1
halsebr01,14,19,40,0,0,859,340,35,99,180,154,0
hamelco01,121,91,306,7,0,6041,1794,222,515,786,741,1
hamilda01,39,41,57,1,31,2112,692,61,317,339,301,0
hamilea01,116,147,261,16,13,7028,2319,43,773,1075,822,1
hamilja01,32,40,65,2,20,1835,597,48,348,357,308,0
hamiljo02,74,73,209,4,1,4022,1408,130,493,721,662,0
hamilst01,40,31,17,1,42,1989,556,51,214,244,225,1
hamlilu01,73,76,181,12,9,4215,1442,106,353,685,588,0
hammaat01,59,67,152,6,5,3236,1051,94,287,493,439,0
hammeja01,69,77,218,1,4,4009,1394,163,427,710,667,0
hammoch01,66,62,136,3,3,3371,1163,105,387,572,517,0
hamnera01,8,20,28,0,1,660,236,15,132,133,112,0
hamptmi01,148,115,355,9,1,6805,2370,200,901,1157,1024,0
hancojo01,9,7,12,0,1,533,175,30,59,94,83,0
handbr01,9,25,43,0,1,866,291,32,120,157,151,0
handri01,24,39,78,2,3,1462,452,52,250,238,217,0
handsbi01,111,110,260,17,14,5853,1895,167,492,834,727,1
haneych01,38,52,125,4,1,2474,924,94,286,510,465,0
hankifr01,16,12,28,2,1,800,281,1,31,154,74,1
hannaji01,41,48,101,4,7,2466,807,79,406,403,354,0
hannapr01,17,25,47,0,1,1312,444,28,279,250,224,0
hanrajo01,22,18,11,0,100,1214,369,40,198,186,173,0
hansean01,23,30,39,0,16,1856,627,53,246,328,290,0
hansesn01,22,45,71,2,6,1877,783,50,194,429,348,0
hansoer01,89,84,238,5,0,4666,1604,139,504,776,717,0
hansoto01,49,35,121,0,0,2124,659,78,249,325,299,0
hanyzed01,12,13,25,0,0,654,213,11,79,103,80,1
happja01,62,61,171,3,0,3038,985,122,399,495,465,0
haranaa01,128,143,381,8,0,6966,2445,298,712,1177,1099,0
hardeme01,223,186,433,25,23,10279,3706,161,1118,1714,1447,0
harderi01,59,38,160,1,0,2785,781,105,422,420,388,0
hardiji01,43,32,100,7,4,2255,691,70,202,302,266,1
harenda01,153,131,380,6,1,7259,2357,305,500,1105,1009,0
hargast01,87,107,215,17,4,4896,1593,125,614,810,711,0
harkemi01,36,36,104,1,0,1968,720,75,225,356,327,0
harkijo01,51,83,137,4,0,3550,1262,26,358,923,538,0
harknsp01,12,9,22,1,1,569,194,3,76,99,71,1
harmobo01,107,133,240,15,12,6162,1966,43,762,957,761,1
harnipe01,111,103,318,11,0,5877,1822,223,716,926,846,0
harpege01,10,14,20,0,0,517,234,7,88,156,104,0
harpeha01,57,76,171,12,5,3768,1100,26,582,531,400,1
harpeja01,80,64,148,10,1,3650,1198,25,438,668,480,0
harpetr01,22,29,14,1,2,1235,451,61,136,248,226,0
harrelu01,18,33,62,1,0,1205,435,37,200,245,216,0
harrera01,9,20,31,1,3,990,385,26,177,256,209,0
harribi01,24,22,37,2,8,1301,467,17,109,221,189,0
harribo01,30,52,89,4,2,1938,770,58,294,397,356,0
harribu02,6,3,0,0,8,558,190,14,86,114,100,0
harriea01,12,28,24,0,10,1150,391,20,193,217,185,0
harrige01,12,18,7,0,26,723,246,21,138,145,126,0
harrigr01,74,90,98,0,54,4401,1329,129,652,689,601,0
harrigr02,45,64,109,2,16,2728,883,103,303,446,402,0
harrijo02,3,30,32,1,2,951,284,5,88,164,118,1
harrilu01,35,63,91,4,3,2460,874,66,265,429,379,0
harrima01,50,35,103,4,2,2005,704,72,234,337,313,0
harrimi01,59,71,109,2,21,3150,1097,79,455,560,488,0
harripe01,10,5,3,0,0,516,168,18,78,81,75,0
harriro01,30,35,70,0,10,1770,590,45,257,298,278,0
harrisl01,95,135,228,7,16,5251,1963,75,630,1006,827,0
harriwi02,10,10,0,0,2,511,146,17,52,67,62,1
harshja01,69,65,155,12,7,3508,1025,96,539,508,455,0
hartbi01,66,120,190,5,3,4746,1819,43,704,1214,817,0
hartbi02,12,8,24,0,0,604,188,6,66,111,82,0
hartech01,17,19,0,0,23,891,317,34,89,157,149,0
hartlmi01,19,13,6,1,4,956,287,28,139,142,131,0
hartucl01,29,29,72,3,1,1534,529,56,271,319,285,0
hartzpa01,27,39,77,2,12,2110,766,49,181,350,305,0
harvebr01,17,25,0,0,177,1161,278,30,144,122,107,1
harvema01,25,18,65,1,0,1281,333,30,94,127,120,1
harvich01,4,9,0,0,2,543,188,26,103,115,105,0
hasegsh01,45,43,8,0,33,2161,691,76,265,323,296,0
hasslan01,44,71,112,5,29,3370,1125,67,520,562,478,0
hastich01,18,29,45,0,2,1354,534,11,176,327,228,0
hastybo01,29,53,94,2,1,2254,900,49,215,475,388,0
hattejo01,65,49,149,8,4,3261,1124,70,492,522,468,0
hausmcl01,9,14,25,2,4,789,270,11,131,133,123,0
hausmto01,15,23,33,0,3,1323,439,37,121,211,186,0
havenbr01,24,37,61,2,3,1772,624,76,246,336,316,0
hawkebi01,32,31,66,2,3,1601,629,19,234,417,295,0
hawkian01,84,91,249,10,0,4675,1574,152,612,815,731,0
hawkila01,75,94,98,0,127,4402,1607,163,456,763,702,0
hawkiwy01,12,13,30,1,1,608,216,27,99,109,94,0
hawksbl01,10,13,8,0,0,550,187,23,67,95,83,0
hawlepi01,167,179,344,11,3,9038,3334,62,974,1927,1326,0
hayneji01,63,89,203,1,1,3602,1358,148,601,778,717,0
haynejo01,76,82,147,5,21,4743,1672,95,620,823,704,0
headed01,27,23,53,6,11,1395,434,24,174,201,180,1
healyjo01,78,136,222,9,0,5625,1920,63,599,1270,799,0
hearnbu01,13,24,40,2,0,1199,429,14,100,183,158,0
hearnji01,109,89,229,10,8,5111,1661,157,655,847,721,0
heatone01,80,96,202,6,10,4521,1589,163,524,804,732,0
heaveda01,26,26,0,0,26,1613,559,41,188,235,204,1
heberwa01,21,36,61,1,1,1451,584,24,168,302,249,0
heckegu01,173,146,320,15,1,8718,2905,50,489,1715,944,1
hedlumi01,25,24,62,1,2,1397,440,39,167,207,184,0
heffnbo01,11,21,31,2,6,1060,360,45,107,192,177,0
hefneje01,8,15,36,0,0,673,242,29,55,130,116,0
heilmaa01,35,46,25,1,16,1890,602,72,256,330,308,0
heimafr01,62,69,127,5,7,3866,1510,64,360,755,639,0
heintke01,77,98,183,18,10,4505,1540,100,630,746,656,0
hellije01,49,48,135,1,0,2358,748,105,253,363,344,0
helliri01,93,81,234,4,0,4579,1540,247,562,842,793,0
hemmige01,91,82,168,7,6,4763,1795,55,691,1123,800,0
hendeha01,81,121,206,4,0,5365,1800,25,522,1230,696,0
hendlbo01,48,52,126,6,12,2638,864,99,329,439,388,0
