,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.911674165725708,0.1709546301220816,0.0020122528076171875,1.4902210198672034e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7843008579699278,0.7873086155026862,0.8115415175658661,0.787729410002995,0.7955823599880203,0.7932827413101997,0.009858808058109422,249,0.8128446177584038,0.7935282226262539,0.7941614123238827,0.8105491324575395,0.7899578179754988,0.8002082406283157,0.009517037442503453
1,0.8388265132904053,0.15118711803630458,0.002022266387939453,0.0005724488571452883,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.82706110657651,0.8265673316986207,0.8124903224620699,0.8014292902066487,0.8235876909254268,0.8182461660261594,0.00990888751708283,222,0.8295607649607324,0.8191023423117525,0.799257257760211,0.8353384498304386,0.8291185752218567,0.8224754780169983,0.012729900799301624
2,0.8365613937377929,0.11117517155322582,0.001918649673461914,0.0002072961236675268,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.8208773434866689,0.8478774440701504,0.8774502651191428,0.8142934710991315,0.8525321353698713,0.8426029111965989,0.02285805026395285,176,0.8459601855788005,0.843742486558518,0.8483106084517386,0.8411443332967434,0.8450237456316989,0.8448362719035,0.00237470502823721
3,0.8499854564666748,0.16047280882581838,0.0023300647735595703,0.00023357263561910323,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.8459913633435118,0.8562617588054576,0.8360482415754601,0.83778071278826,0.8522454028152141,0.8456745388470502,0.007878398372345642,159,0.8685348456867291,0.8601972851859302,0.8370535601693218,0.8720036557496346,0.8625195637361426,0.8600617821055516,0.012246129844789259
4,0.9278558254241943,0.12101985239269818,0.002212381362915039,0.0003967214547042458,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.8494862091591123,0.8621745473586881,0.8756197869857285,0.8347622342018568,0.8656157532195268,0.8575366046722884,0.014110945279042438,104,0.8651618941394914,0.8565806836162989,0.8619159985190236,0.8747728344787261,0.8713732781997212,0.8659609377906523,0.006510485769710669
5,1.0230708599090577,0.31438870374236755,0.0027132511138916017,0.000396952983966203,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.8285271251746805,0.851303704249321,0.8695940589419128,0.8302511230907458,0.8663993111710094,0.8492017111233604,0.017330900887383968,148,0.8552522092313637,0.86370188951021,0.8566523978292959,0.8764081464210498,0.871083463874317,0.8646196213732473,0.008158650325745524
6,0.9323329925537109,0.15799385494740065,0.002533149719238281,0.00030435486739815244,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.8469898960080486,0.8658386690949917,0.8896744612613605,0.826745342917041,0.8874284516322252,0.8633311380523258,0.024004840692807086,62,0.8716070217050035,0.8787210103363811,0.8790674246748325,0.8780077974046572,0.8762140083905576,0.8767234525022864,0.0027412180533780686
7,1.0413698196411132,0.1497726210581365,0.0021205902099609374,0.00019433425695624786,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.8581418898420381,0.8431760354057727,0.8816764581552854,0.8425680742737347,0.8691580413297394,0.8589345428853973,0.015086122174753223,95,0.8703189811981669,0.8701106976211983,0.880439896123505,0.8922964880133729,0.8750622707514912,0.8776456667415469,0.008241168573880823
8,1.1467264652252198,0.2031501353093982,0.0023111343383789063,0.00023707016150466127,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.8543883734289995,0.8662291491914901,0.8803854666923975,0.8383193171608267,0.8741400718778077,0.8626954278273707,0.014949868408101585,64,0.8880833121259157,0.8814153087653116,0.8716705363405785,0.8952360474718898,0.8811726948530489,0.8835155799113489,0.007854156146887014
9,0.9526487350463867,0.1666302764643924,0.002710437774658203,0.0003832317605924196,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.8675325344423936,0.8557021297736733,0.8859931776619892,0.8361944893680743,0.8650348008385744,0.8621024342286489,0.016241273709933203,68,0.8760746613801728,0.8712960383593523,0.8859945993712225,0.8924525896411056,0.8706413493650165,0.8792918476233741,0.008570255360005065
10,1.0611797332763673,0.24741650679804972,0.0027231693267822264,0.0002622760594656719,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.8649064303097509,0.8665373539306467,0.9012728236796883,0.8399178496555855,0.8991470500149746,0.8743479909226137,0.02310899930801398,25,0.892027816370083,0.8739416617011452,0.8904061652555108,0.8895911307730605,0.8921408865751674,0.8876215321349934,0.006908143901427541
