,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.813877534866333,0.2523730087188136,0.0016278743743896485,0.00015368598460393864,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5339774586773061,0.6502509698652301,0.6248322271047455,0.6017750497677506,0.5752748068924538,0.597236853734025,0.04020924502690036,188,0.5414469846992997,0.6392514713985029,0.5891991396381961,0.5976858363600968,0.6314271061866719,0.5998021076565535,0.0348672188223533
1,0.8349376201629639,0.1817273805343179,0.001711130142211914,0.0002529416853542705,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.7521833458971483,0.6707606317453897,0.7594826159701411,0.7595572513455726,0.7085561497326202,0.7301131187154537,0.03523535377354164,120,0.7538245986937808,0.7111799774535411,0.7502316890709614,0.7322498038795562,0.7460956724113348,0.7387163483018349,0.015590924562115967
2,0.7566675662994384,0.1401588709724191,0.0014380931854248047,0.00022523913842569188,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.734321278199636,0.7130394013495376,0.7738237511261469,0.7521197375211975,0.7318775995246583,0.7410390660017014,0.020554748954601014,108,0.7452826491397534,0.7451892819022018,0.7507037123274722,0.7383021786936594,0.7706323964326943,0.7500220436991561,0.011031083310741145
3,0.8883738040924072,0.06217856820003805,0.0016088008880615235,0.00021569181617473175,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.763389655996617,0.7251190498078655,0.7652650352093253,0.7799159477991596,0.7315433749257277,0.7530526634191274,0.02107120289924592,99,0.7646350263157287,0.7742178476661647,0.7584583801130088,0.7576884397797923,0.776074078162442,0.7662147544074273,0.007702086610555437
4,0.710228967666626,0.1708983504751609,0.001708984375,0.0002464859321233287,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.7184632922098217,0.7434959274853371,0.7653937377043152,0.7752801740028018,0.7488859180035649,0.7502955082012407,0.019568731077291002,100,0.7486553965110623,0.7664649089035459,0.747804717235592,0.750309588072191,0.791020448994798,0.7608510119434378,0.016563642290790673
5,0.7784351348876953,0.17551321013856014,0.0016170024871826171,0.00014104698056602617,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7572211292724632,0.7618728051628086,0.8163599257202744,0.79956499299565,0.7600267379679143,0.779015645740035,0.024279612866538586,80,0.7797340071143529,0.7625250420152568,0.7912700480207296,0.8021942450601265,0.8123536811410225,0.7896154046702977,0.017375408216610603
6,1.1234971523284911,0.13982179760312424,0.0015246868133544922,0.0003256173583681752,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.8667101803673537,0.8459431134972145,0.8665814778723638,0.8228636732286368,0.8325163398692809,0.8469427816831055,0.017693201568622797,52,0.8538693227532498,0.865500459920096,0.8377311991811346,0.8656076738675412,0.8558141192812035,0.855704555000645,0.010202481243609162
7,1.0015279293060302,0.04003713242759749,0.0017956733703613282,0.00023946630104579336,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.8692290720550112,0.8616723969920389,0.8848296530548456,0.8388630833886309,0.8535353535353534,0.8616405139592653,0.015361878416546761,39,0.8720257924112031,0.8717105338992233,0.8672352462474439,0.8741805275726338,0.8837181893026828,0.8737740578866374,0.00546116449664897
8,1.2506900310516358,0.18057903583558899,0.001945352554321289,0.00033966174156555045,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.9437386236187464,0.9583371637647319,0.9739377447645665,0.9487668657376687,0.9641636957813426,0.9577874209827175,0.010778489701598839,13,0.9443029847546285,0.9735534417930196,0.9696452736582205,0.9768019177757121,0.9761462889627862,0.9680899813888735,0.012156409583772282
9,1.3960769176483154,0.10982523377999664,0.0019483089447021485,0.00039304783072694377,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.9767140414422034,0.9595966096085606,0.9741951497545459,0.9656141709061418,0.9740418894830656,0.9700310220952381,0.006428229384202594,6,0.9827893058779863,0.975413294111409,0.9694568101601997,0.974312541686394,0.9846402568312798,0.9773224417334537,0.005621557157282425
10,0.29970498085021974,0.0981595521203441,0.0009061813354492188,0.00020258034816470646,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.5558752688962842,0.5581367555939619,0.5593962014377908,0.5362198628621987,0.5339052287581698,0.5487224451632808,0.011217643249661778,197,0.5682070723953422,0.5467746806494671,0.5507462462912459,0.5294762403394123,0.565431264056959,0.5521271007464852,0.013994162259471057
