,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8597366809844971,0.1033310853880621,0.0018894672393798828,0.00018946295083204122,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.9963503649635037,0.9927007299270074,0.973193108900697,0.9950877387008774,0.9913844325609029,0.9897400403728809,0.008460536332396604,4,0.9808043875685558,0.9868876665337238,0.9868876665337241,0.9926251801370597,0.9911582014451358,0.9876726204436398,0.004125095163572493
1,0.770867919921875,0.059807355290601334,0.0019281387329101562,0.000382005476247881,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.6419496589383883,0.6307433488389196,0.6487341190314218,0.6767400280174003,0.6377748068924537,0.6471843711720741,0.015884823079562745,320,0.6429077785283017,0.657753169299008,0.6556731547291083,0.6478356481881468,0.657657564426292,0.6523654630341713,0.00596559400296786
2,1.1866029739379882,0.15977647337703732,0.0016185283660888673,0.0002123724035798446,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.9792329331298609,0.9765853389472137,0.968284028020372,0.9828762073287621,0.9595588235294116,0.9733141885548983,0.00838082896998033,20,0.9929392467454026,0.9785658792312072,0.9807092913080865,0.9941693766422567,0.9636876261964223,0.982014284024675,0.011104611436291602
3,0.5512552738189698,0.29532185374567105,0.001876497268676758,0.0001955342035654157,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5,0.5,0.526292081119344,0.5145985401459855,0.5645796197266785,0.5210638736070988,0.0238585658956065,375,0.5015128950529196,0.5024269718353694,0.5514701305527571,0.5094247248841998,0.5920750946329437,0.5313819633916379,0.035496094833337835
4,1.394072961807251,0.26609617976641986,0.0016905784606933594,0.00025211171963389296,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.9171891375094229,0.9535567853793967,0.9341778668480759,0.9668767971687678,0.93612596553773,0.9415799213635274,0.017106477110374756,60,0.9173227348070756,0.9621124971471122,0.9547681841340244,0.9779377460145214,0.9361842801227124,0.9496650884450892,0.02101467471513655
5,1.0730767250061035,0.3303285564192873,0.0019431591033935546,0.00022997616385598863,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.8265641949658938,0.7632609535016271,0.8980400448620126,0.8604844061048441,0.7665626856803325,0.8230107050895349,0.0525426780682926,203,0.8329089542638858,0.806779383591803,0.8486367230635519,0.8630249893732095,0.7688857689530353,0.8240471638490972,0.03329685978046108
6,0.8985952854156494,0.18734279743170615,0.0017270565032958985,0.0002741739603783977,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.6966941844858336,0.7422364816415083,0.7823824670429683,0.7737410602374107,0.7392305407011287,0.7468525856289786,0.030279402334683167,261,0.7270962097512281,0.7675357504305267,0.7766131207480444,0.7429347682092506,0.777964437330684,0.7584288572939468,0.020085036350186755
7,1.3976011276245117,0.4024806369979847,0.0019194126129150391,0.0003710151804568496,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.7645203993454559,0.8472025593410433,0.8667101803673538,0.7984406104844062,0.8201128936423052,0.8194046498165176,0.03597013880595421,212,0.7877088371514,0.8708281558702633,0.8569268116125789,0.7905911721033213,0.8722047061204401,0.8356519365716008,0.038353891459220656
8,1.3070029735565185,0.11571741570981409,0.0021172523498535155,0.00019671602429251938,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9570777179209031,0.9290113809777714,0.9607273529573996,0.9167680454176804,0.9309640522875816,0.9389239704970981,0.01707590313072767,68,0.9603460120662745,0.9466348603295287,0.9614185826161731,0.9524409363556041,0.9470021019322138,0.953568498659959,0.006324915957164217
9,1.0741511344909669,0.2695661829595011,0.002023649215698242,1.155816288472855e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.8452996010222655,0.8403905201419404,0.7838993178767765,0.8423744746737449,0.8226381461675577,0.8269178287252087,0.022933196503749885,195,0.8478776820027156,0.8497058355676151,0.7571673763345175,0.8518654193291242,0.8616237541337234,0.8336480134735392,0.03853346835061418
10,1.8905173778533935,0.1599834267458525,0.002303457260131836,0.0005065440166516029,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9741951497545459,0.94021769107724,0.953428082884407,0.9267308117673082,0.951983065953654,0.9493174229560428,0.01572432321915914,46,0.9842388034239263,0.959937386316743,0.9721356430005694,0.9575440997409251,0.9668583472465608,0.968142855945745,0.009553378472619072
