,0,1,2,3,4,5,6,7,8,9
2,0.9593288507919853,0.8082305579491988,0.9584543116477113,0.9492333496602431,0.7793620109107016,0.6708610404697309,0.7658710247115861,0.7296154332556017,0.807412468458949,0.7633426945109711
3,0.9280509927870604,0.6656381206660796,0.6657896483039145,0.7633062420009818,0.5982805308640404,0.7185285221791414,0.4853425314221414,0.6746713088334363,0.7224742464526586,0.6724336036018803
4,0.4682665859352858,0.5015178185267922,0.6986046619877914,0.6740477854377868,0.6122272871475732,0.6991092793746402,0.6191377568872795,0.6762045125599037,0.40925455860238485,0.6255765461617233
5,0.5557597119307742,0.6689938258419482,0.634130260812608,0.31051113801102276,0.6334808253664299,0.3734280485426475,0.5803085222375735,0.5178267655193899,0.4242797798124691,0.6434495580238146
6,0.335306369064323,0.2522294881384333,0.3281883061250415,0.32041602039047906,0.4887138101696514,0.2746963227601825,0.3571605628610812,0.45018931860122424,0.24828237342954104,0.3181658099796551
7,0.44264379825248723,0.6778176452551937,0.5009156811059443,0.1977852430393678,0.23737802955740273,0.2210566418474911,0.23850121762847365,0.4069872214681558,0.2638032538159624,0.4983599287786804
8,0.324691396917869,0.43898841958949264,0.09981993128149963,0.43770396362862646,0.27061959845842065,0.39997796335289615,0.35906515618292667,0.37820857043406336,0.3299755649872388,0.2816602972525155
9,0.13920934757228964,0.29857445076830524,0.42526696123177105,0.07787771286313727,0.17355680526216508,0.2635847918021163,0.31150784349024174,0.2905316945325044,0.11191595882750764,0.17470216086204926
10,0.2082767621609771,0.053705050460733816,0.22101773743238165,0.08515734786640498,0.0403569536997526,0.09090909090909108,0.027576212337345897,0.25622397637257216,0.0909090909090911,0.11775889510365833
15,8.81344954229927e-31,1.83980157417768e-30,1.3176172746624402e-30,9.221190069558103e-31,1.1779358086478096e-30,9.672754249639481e-30,1.6102625102667514e-30,1.553553568824477e-30,1.8763429734897197e-30,2.080936056195975e-30
20,5.031917973171261e-31,1.118580915630732e-30,1.0176883386952933e-30,3.626331533741261e-30,2.5668856968285286e-30,2.3497785316742244e-30,2.100781027554656e-30,2.8827381772182624e-30,3.615240398882938e-30,4.69188885637552e-30
25,3.773726981263561e-31,1.1986418954782142e-30,7.721441127504123e-31,7.526191900559191e-31,1.4482695253679517e-30,1.1230189856516406e-30,1.0253171518339467e-30,1.0014894625178783e-30,1.871324027660601e-30,1.2950688197078119e-30
30,1.3676323057076194e-30,6.935529111478924e-31,9.820426329680663e-31,1.3620852125460009e-30,1.1539774583668959e-30,1.6529827869912414e-30,2.2814632397371987e-30,1.9447167209469208e-29,1.4874710299068216e-30,9.130049814684784e-31
35,1.2228379123892137e-30,2.600204618577782e-30,2.0393319675392542e-29,9.196950625234439e-30,4.628831891835126e-31,5.779166816950581e-31,5.28219851021269e-30,9.913379286672321e-31,2.122407795320752e-30,9.591045809496912e-31
40,4.329233789173396e-30,2.304613438765311e-30,8.083621730290834e-31,1.298282163108858e-30,8.959132256423058e-31,3.411449666967996e-30,4.767358368152071e-31,4.704374426443486e-31,2.184145421372735e-30,7.378558217567125e-31
45,9.252845680229292e-31,7.609815630240504e-31,7.521560101236275e-30,2.035477419278711e-30,1.2551466385875204e-30,4.563060243281129e-31,1.0803549375456389e-30,6.529812741416114e-31,1.2021108551533618e-30,1.5124114018962052e-30
50,1.0670780204831193e-30,1.4147029358851508e-30,8.619118598166469e-31,2.4050239534897686e-30,6.754147361374555e-31,1.1266131512979776e-29,8.614773698861848e-31,9.065221704047505e-30,1.3574984718018118e-30,5.357647807184043e-31
55,1.0858250410799924e-30,4.1689355575497344e-29,1.968082832639355e-30,6.710188935585369e-31,7.510797567796095e-31,1.2606535762699001e-30,7.247845022117195e-31,1.2019492144828808e-30,8.752575158103726e-31,1.138209402461962e-30
60,2.0159801166481164e-30,1.1450120962906829e-30,1.1948988738060085e-30,1.4423687738155272e-30,1.8322101820767026e-30,7.637650389313975e-31,4.439603112446961e-31,8.601290218609707e-31,1.3834596055423586e-30,4.979193275930113e-31
