,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.4905396938323974,0.15539240522812325,0.007115364074707031,0.0004919024251435126,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.7835694250000051,0.8146629275144445,0.8128397779799483,0.7939330338424678,0.8037961365678347,0.8017591656503574,0.011721269079283586,327,0.8105289158361946,0.8020135185051885,0.8075944677608877,0.8106682401704892,0.8020866806357639,0.8065783645817047,0.00385692747117028
1,1.5365328311920166,0.13417648811641045,0.0068092823028564455,0.00039129457094377835,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7842557449359958,0.8251250350438709,0.82187710877696,0.8071230008984726,0.8060289008685234,0.8088778871999068,0.014513214066325216,296,0.811524539799431,0.802097497325272,0.8107798587025464,0.8095136641799727,0.8129442075127695,0.8093719535039984,0.0038030150702425417
2,1.3690492630004882,0.1294175144720458,0.007247781753540039,0.00040431136524675767,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.7860917229146818,0.8259998877557921,0.8136719956992805,0.7779774782869122,0.8026162024558251,0.8012900015318237,0.017556527107570566,329,0.8081872449874814,0.8021073156115276,0.7951577861947118,0.8126562409890201,0.8080544686786402,0.8052326112922762,0.006050993159718772
3,1.6996907711029052,0.3722971365532199,0.0071200370788574215,0.0005926620261024938,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7884212723061572,0.823051991478116,0.8205888438599875,0.811439383048817,0.7950865528601376,0.8077191252500383,0.013769226042538342,300,0.8073842347762937,0.8038673290950703,0.7992043707116949,0.826503176026643,0.8100174417394067,0.8093953104698217,0.00929004163505563
4,1.7945788860321046,0.396208376055558,0.007030391693115234,0.00031730020060008305,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.7867276845735991,0.8380973816643688,0.8363920886977458,0.8298463012878109,0.8136421683138664,0.8209272230694658,0.01918616259806061,284,0.8185648525866593,0.8235132020333086,0.8245024603560489,0.847413101879639,0.8052338138750651,0.8238454861461442,0.013640043802872544
5,1.466268539428711,0.1916938936819072,0.007064056396484375,0.0002505576863267337,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.7928224725630038,0.8409164794357801,0.8599936959538317,0.8395468703204552,0.8623384845762203,0.8390773835312751,0.02500770848938438,253,0.820349554883851,0.8293871893809353,0.8616298193851857,0.866584845191318,0.8542468700679066,0.8464396557818393,0.018270206877700895
6,1.666187572479248,0.3416344748906594,0.0077212810516357425,0.0007512401465738981,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8504833509774773,0.8676361943649189,0.8529280162471627,0.8323078167115904,0.8585882599580712,0.8524060561353267,0.011640548686727453,200,0.8657034916939101,0.8665689445307792,0.8548339967866102,0.8706260300850711,0.8570194498992403,0.8629503825991222,0.00601067127395384
7,1.4857459545135498,0.171578966418918,0.007413101196289062,0.0006649379089798513,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.852839784189316,0.8520123467232189,0.8805749529034451,0.84133423180593,0.8683559448936807,0.859017605767518,0.013789055469733413,142,0.8697405172774562,0.8619445653753139,0.8678563083503567,0.8726518592944023,0.8710132798410812,0.8686413060277219,0.00369815141298372
8,1.7806727409362793,0.22353070147414697,0.007229661941528321,0.00027294550465695254,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.8546250715449957,0.8860111076631652,0.8872996673375053,0.8427813417190776,0.8835115004492364,0.8708528009784308,0.018495696856040564,42,0.87861996150343,0.874352511771028,0.8735555201772567,0.8729973672044286,0.8800269253384624,0.8759104571989212,0.0028546712303984183
9,1.4379456996917725,0.19083914561775847,0.007088947296142578,0.0002077596188071724,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.846421061219048,0.8644538238080396,0.89662165522565,0.8382014076070681,0.851545342917041,0.8594574091363822,0.020439538741241034,130,0.8764109034290355,0.8622812134631429,0.8888139655739646,0.8958952453811607,0.8704786727362889,0.8787760001167186,0.012168373923348064
10,1.451009750366211,0.18893387490449587,0.007029151916503907,2.015086975857495e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.846421061219048,0.8644538238080396,0.89662165522565,0.8382014076070681,0.851545342917041,0.8594574091363822,0.020439538741241034,130,0.8764109034290355,0.8622812134631429,0.8888139655739646,0.8958952453811607,0.8704786727362889,0.8787760001167186,0.012168373923348064
