,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9254417896270752,0.2135159130843119,0.006644296646118164,0.00037212059595508013,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.5278089319531523,0.5494493371821507,0.5686995532184816,0.5000000000000001,0.5775772430184194,0.5446991265177054,0.0281407349560938,368,0.5354588019946008,0.5671662005989336,0.5708225077287324,0.5000000000000001,0.6134612200405667,0.5573817460725667,0.0379330391194434
1,1.6313445568084717,0.17358349527821001,0.006868934631347657,0.000835223175055993,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.9573351229108829,0.9609847579473791,0.9913125815881887,0.9522782570227826,0.9570335710041591,0.9637982398626773,0.014041973779711728,24,0.9506081549942249,0.9716002222370791,0.9952711223203026,0.9669688246251248,0.9594406422621758,0.9687777932877815,0.015036310059422011
2,2.268399381637573,0.21477974089012436,0.006487274169921875,0.000269195063396703,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.9925720274320174,0.9657651363327144,0.9653790288477448,0.9705264322052642,0.9593360071301246,0.9707243310887496,0.011493277003965368,13,0.988210369065705,0.9801421717911062,0.9636870606840937,0.9845891377497008,0.9758312291014126,0.9784919936784036,0.008492476469187054
3,2.000436544418335,0.7413019962435711,0.0064849376678466795,0.00024966341183349007,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.979104230634871,0.9413484344260789,0.9692860688742211,0.7950674629506749,0.8219325609031489,0.9014471556335082,0.07726931012216602,82,0.9803306352891272,0.9684476371172808,0.9754766916183883,0.8228637847041029,0.8366863061645945,0.9167610109786988,0.0712583792443656
4,1.7410665512084962,0.48731660956215933,0.006600475311279297,0.0004940323747449636,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.8925150306128077,0.8619298019820184,0.8751401937891854,0.9414675956646759,0.8660502079619725,0.8874163266644557,0.028989150477227325,125,0.88236419677664,0.8798755564572089,0.8654070926825445,0.9597184159688696,0.8975681748145287,0.8969866873399583,0.0329832889007204
5,1.9872130393981933,0.405340539353596,0.006450748443603516,0.00018339126108810885,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.9096324624464506,0.9168030300244536,0.8981687473570024,0.9473659957236599,0.902703505644682,0.9149317603268781,0.017396912992455747,43,0.9041452748109026,0.9393539448234206,0.876564477569962,0.9654557309215991,0.9299813953702298,0.9231001646992227,0.030431525499594235
6,1.8848796844482423,0.5211103388151613,0.007134437561035156,0.001020965558979084,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8063119380757139,0.9302708268216,0.9460001103164244,0.9206941679569417,0.8473336304218655,0.8901427590062313,0.05391036663315931,121,0.8071580396107624,0.9454689225420786,0.9372739302535208,0.9309736674465408,0.877396869638808,0.8996542858983421,0.0520501112171956
7,1.9000257015228272,0.23055770061958514,0.0065135955810546875,0.0003001674571766948,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9120226516391182,0.8942617073305265,0.8933883689716671,0.8785943375359435,0.8767453951277479,0.8910178360837196,0.012769137348113318,110,0.9105438122880505,0.915521092926913,0.8848228673654992,0.8857836005294389,0.9060621426830221,0.9005467031585848,0.012804552505375546
8,1.7119015216827393,0.39509248772276057,0.006733322143554687,0.00039326864142110064,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.946128812811414,0.8382577359392523,0.8922576256228283,0.9068052790680527,0.9023692810457515,0.8971562281121328,0.034693251876644106,96,0.9475489371119784,0.851694211922881,0.8767546700909005,0.9155357342392313,0.9190399643085472,0.9021147035347077,0.03381187770248064
9,1.8358917236328125,0.4087076942083699,0.006853675842285157,0.00038275913831119034,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9156722866756145,0.8668388828623435,0.8728787070915075,0.8289003170390032,0.9100564468211525,0.8788646767194512,0.03162883714833639,142,0.9097565305195597,0.892987889923485,0.8637691316385834,0.8403285838203226,0.9048674448875214,0.8823419161578944,0.02639077756138964
10,1.8250425338745118,0.41294897645118456,0.006733846664428711,0.0002462422542774729,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9156722866756145,0.8668388828623435,0.8728787070915075,0.8289003170390032,0.9100564468211525,0.8788646767194512,0.03162883714833639,142,0.9097565305195597,0.892987889923485,0.8637691316385834,0.8403285838203226,0.9048674448875214,0.8823419161578944,0.02639077756138964
